text,sentiment
barang sesuai gambar dan diterima dalam kondisi baik,1
sesuai deskripsi. terima kasih,1
good barang enak,1
barang sesuai deskripsi dan seller sangat responsive,1
"barang sesuai, mantap",1
"proses pengiriman cepat, seller juga responsif brodo tipe raze ini nyaman dipakai. mantap",1
"barang sudah sampai, terima kasih",1
"proses pengiriman yang super duper cepat dan packing ok selalu aman sampai tempat, Terima Kasih abang gojek",1
"barang sudah diterima, ttp bukan warna yang saya diinginkan di gambar pertama. walau keterangan disebutkan bahwa akan dikirim random bila gbr memang tidak ada dlm stock kosong sehrsnya jangan tampilkan saat promosi barang shg pembeli berharap karena kalau bc ulasan juga menerima sesuai diinginkan",1
"sesuai deskripsi, ukuran pas nyaman dipakai sejauh ini masih awet recommended",1
produk baik dan cukup murah,1
"barang sampai dengan baik, belum dicoba semoga beres. terima kasih",1
mantap sesuai dengan gambarnya.,1
terima kasih ya baju nya bagus. respons baik padahal bukan seller tapi barang ttp dikirim dan mah ya sangat propesional,1
bolanya bagus. centimeter agak keras pantulan kurang,1
langganan beli minigold disini: di sini?,1
sepatu nya bagus banget. nyaman juga dipakai ukuran pas terima kasih,1
"barang bagus, sesuai foto packing rapi proses cepat recommended deh toko ini",1
"tepat waktu, barang sampai dengan baik. belum dicoba fungsinya semoga berfungsi",1
"respons cepat, belum dicoba tetapi mudah-mudahan mudah-mudahan optimal seperti deskripsi good seller",1
"mantap jiwa. barang ok, cepat datangnya",1
barang ok banget lezat dan tetap krispi renyah,1
kiriman sudah sampai bos. siap dan oke terima kasih,1
mantap. terima kasih,1
produk sesuai dan kualitas bagus. respons cepat,1
"terbaik, barang sesuai semoga awet. recommended",1
pesanan sudah diterima dengan baik. cepat respons semoga sukses,1
"selalu memuaskan. kualitas produk ok, harga layak pengiriman aman terima kasih",1
"pelayanan cepat, terima kasih banyak",1
produk dan kualitas tidak mengecewakan hanya gojek nya yang lambat terima kasih.,1
barang bagus pengiriman cepat pertahankan,1
terima kasih kakak paket sudah sampai,1
mantap sampai dengan aman agan.,1
"ukuran tiganya agak lebih kecil dari biasanya, tapi kualitas bagus dan empuk juga",1
sudah sampai.,1
puas banget jam bagus berfungsi normal terbaik deh,1
"ok produk orisinil dan bekerja dengan baik, terima kasih",1
pelayanan mantap dan cepat,1
"ukuran dan warna sesuai dengan foto. produk bekerja baik adapun kuat barang bagus, cepat sampai recommended",1
"terima kasih ya agan, barang sudah diterima dengan baik",1
"bagus, berfungsi dengan baik",1
"berfungsi perfectly. jadi tidak perlu ngolong lagi deh buat nyolok hdd external, usb atau handphone",1
oke agan barang nya sudah sampai,1
"barangnya sampai di tangan saya setelah 2 hari pemesanan. packing-nya cukup rapi kelengkapannya sudah lengkap kotak manual book adapun garansi jam kualitasnya bagus bintang 5 namun untuk tanya sebelum, lebih mudah-mudahan via whatsapp karena chat tokopedia tidak ditanggapi",1
terima kasih barang udah sampai dengan selamat,1
barang sesuai pesanan good pekerjaan,1
terima kasih respons cepat nya. dan barangnya sudah sampai sesuai pesanan,1
pengiriman cepat dan kualitas barang oke. mantap,1
good seller. layanan barang seperti deskripsi,1
keliatannya enak bawang gorengnya sekilas kalau dilihat dari toples nya,1
terima kasih agan ya barang sampai dengan selamat,1
"enak, segar",1
kabelny panjang mantap Kakak,1
barang sesuai pesanan dan gambar,1
barang sudah diterima dengan baik dan pengiriman yang cepat. terima kasih,1
barang sesuai yang dipesan dan dikirim nya cepat,1
jam sudah diterima. bagus sesuai deskripsi,1
barangnya sudah diterima dan sesuai. terima kasih,1
original tinta produknya. pesananya cepat sekali sampainya terima kasih,1
produk sesuai deskripsi dikasih merek mtech pesanan cukup bagus untuk rate harga segini semoga awet sudah tes di win emulator ps adapun game lain lancar jaya terima kasih ya agan.,1
"paket diterima dengan baik, packing sangat aman. cocok digunakan untuk handphone probook seller fast respons process recommended",1
siap dan bagus.,1
pas sesuai pesanan mantap,1
deckerny sangat bagus pokoknya terbaik markotop hanya packing kardusny sedikit kurang rapi.,1
rewpon penjual cepat. barang bagus namun sayang lama banget dipengiriman,1
baju ke 3 pesanan bagus semua. terima kasih,1
"produk baik, sudah di pakai dan berfungsi dengan. good kualitas original terima kasih untuk",1
terima kasih banyak.,1
murah dan kualitas oke.,1
pengiriman barang cepat dan kualitas mantap sesuai dengan harga.,1
jos sesuai deskripsi barang oke.,1
sesuai yang diinginkan dan di butuhkan,1
cukup berguna. seperti deskripsi,1
"kacamata renangnya berfungsi dengan baik, dan cepat sampai",1
"packing aman sekali bubble wrap tebal, sayang nya belum bisa coba karena sedang kena covid indra perasa masih kacau.",1
overall good. sayang saya dapetnya yang tombol r adapun l sering nyangkut,1
"packing rapi, walau dari solo cepat sampai karak ini enak empuk dan renyah karena sudah selalu konsumsi bakal belanja",1
barangnya imut sekale kalau untuk orang agak gemuk saya tidak sarankan bukan bermaksud rasis,1
"barang sudah sampai dalam keadaan baik dan cepat, di foto jam terlihat lebih besar aslinya jauh kecil.  haha tapi semunya bagus kok terima kasih",1
mantap terima kasih barang bagus,1
"proses dan pengiriman cepat, barang sesuai deskripsi recommended seller Terima Kasih",1
"mantap pelayanan cepat, recommended seller",1
"seller fast respons, barang cepat sampai walau pun memakai jne regular. semoga awet buat main harvestmoon back to nature selama bulan puasa",1
sesuai foto dan deskripsi. tinta terdeteksi original oleh printer Terima Kasih agan,1
"barang sesuai deskripsi, tidak ada error message pada saat dipakai di lenovo -nya yoga. Terima Kasih a lot",1
udah repeat pemesanan 3x disini: di sini. lalu jauh puas?,1
"tolong susunya dibersihkan setelah diikat, ceceran susu banyak di dalam plastik.",1
terima kasih.,1
produk yang diterima lengkap. pas di kepala lampunya terang mantap pokoknya rekomendasi?,1
sesuai deskripsi dan gambar,1
"packing sangat rapi, pengiriman cepat dan rasa enak",1
"pesanan diterima dalam keadaan fresh dan dikemas dengan rapi, sangat bersih aman. recommended",1
"salah beli, kekecilan. kualitas lumayan lah",1
"bagus, jam tangan favorit saya",1
"original, packing rapi dan melindungi paket. sukses tokonya",1
cepat sekali pengirimannya. sudah di coba produk sesuai deskripsi praktis dibawa kemana sudah tidak lagi layar handphone yang kotor dan brminyak,1
paket telah diterima. terima kasih,1
produk bagus. packing aman rapi respons dikirim cepat,1
alat berfungsi dengan baik,1
"saya cinta bata. terma kasih ya, kalau ada desain yang bagus kualitas oke harga standar aku pesan lagi",1
penjual responnya cepat. barang juga sampai,1
barang bagus sesuai pesana pengiriman cepat terima kasih,1
barang sesuai dengan deskripsi pada lapak.,1
"sangat bagus, mantap",1
"barangnya cepat sampai, packing-nya rapi dan aman. baru mau coba konsumsi semoga cocok berjodoh",1
"keren banget. bagus terima kasih ya kakak, on waktu pula",1
"wih mantap betul sellernya, aku pesanan siang menjelang sore langsung sate set tiba malemnya udah sampai? terima kasih seller",1
barang sudah kami terima dengan baik agan. Terima Kasih,1
"barang cepat sampai, berfungsi dengan baik.",1
barang bagus sesuai di gambar semoga barangnya awet,1
barang diterima sesuai foto,1
pesanan sudah sampai terima kasih,1
"pengiriman cepat, kualitas barang ok",1
"kurang sesuai harapan, saya kira bahannya agak tebal ternyata satu lapis saja. untuk celananya nyaman dipakai jahitannya rapi pengiriman dan respons cepat cukup puas",1
produk bagus. fast respons juga,1
"sesuai randomnya, bahan ekspektasi. terima kasih",1
"barang sudah sampai, terima kasih akhirnya bisa kembali bertarung",1
"barang sudah sampai, belum di coba",1
mntab cepat reply dan process,1
mantap barang bagus pengiriman cepat. recommended lah,1
cepat dan bagus kualitas nya.,1
gampang rakitnya dan bagus juga raknya.,1
"terima kasih agan, barang sudah saya packing dan pengiriman cepat",1
pengiriman lama. cuma penjualnya responsif belum bisa kasih bintang 5,1
bagus dan sesuai. di foto,1
barang sesuai pesanan. tls,1
"sesuai pesanan, harga bersaing",1
produk dan pengiriman baik,1
"produk sesuai, kualitas sebanding harga",1
"ini pembelian yang ke 2, keren lah nyaman untuk olahraga.",1
packing-nya mantap banget tidak hancur padahal lady finger rawan,1
"perakitan perlu di adjust sendiri supaya kain kencang dan rangka presisi. bakal kendor agak penyok kalau ngikut cetakan pabrik bahan oke, lumayan kokoh satu baris maksimal muat 3 pemasangan sepatu",1
"barang sudah diterima, terima kasih",1
"pengiriman cepat banget, dapat bonus pouch packing rapi dan sangat memuaskan lanjutkan kakak pelayanan sebaiknya kalau bisa tingkatkan. terima kasih",1
bagus produk adapun seller,1
bagus dan terpercaya terjamin,1
terima kasih barang nya bagus dan cepat datangnya,1
"pengiriman cepat, kabel bagus dan harga murah",1
"produk mantap, sesuai deskripsi dan foto seller garcep tokopedia terbaik? mampirmampir ke lapak kita juga ya teman-teman untuk bagus dengan harga spesial lainnya",1
agak kebesaran sedikit tetapi anaknya suka,1
mantap sesuai pesanan dan kualitas barang bagus,1
"respons sangat cepat, mutu produk baik sesuai dengan tampilan jumlah juga pemesanan.",1
"pagi pesan, sore sudah diterima. mantap",1
barang diterima dengan baik. layanan cepat terbaik,1
ukuran dan warna sesuai foto deskripsi. recommended,1
paketan menjadi paket. udah sampai dengan selamat dan aman terima kasih,1
terima kasih. good,1
"lumayan lah, barang sesuai pesanan terima kasih",1
"sesuai pesanan, packing baik",1
belum dicoba tetapi sudah kali beli di di sini. mudah-mudahan mudah-mudahan kualitas tetap ok Terima Kasih seller,1
almond nya tidak se crunchy yang biasanya,1
barang bagus tapi kayaknya stok lama ya?,1
sudah beli berkalikali disini: di sini dan rasany tetap mantul,1
terima kasih bapak. pesanan sampai magrib tertawa ya sudah gram apa sudah pakai paku manual mungkin gosendnya lagi kurang enak badan,1
"kalau ada bintang di langit, saya kasih buat kamu semua. ahay de Terima Kasih Anda _",1
bagus banget.,1
"barang sesuai harga, cukup ramah untuk orang tua",1
"enak, pengemasan rapi",1
barang bagus dan cepat ai,1
respons cepat pengiriman packaging oke,1
kimchi dari di sini selalu enak. ini pertama kali mencoba varian bawang fresh banget masih manis mau coba simpan 23 hari dibiarkan fermentasi dl tertawa,1
barangnya ok servicenya super ekspres. terima kasih,1
"bogus, sesuai ekspektasi",1
tepat waktu dan cepat tanggap.,1
"barang sudah sampai agan dan bagus sesuai deskripsi, mantap sudah.",1
"penjual cukup ramah dan fast respons, maaf kalau saya agak cerewet karena ini yang 1st waktu beli barang branded via online Ngomong-ngomong Terima Kasih a lot untuk kerjasamanya.",1
pelayanan cepat produk bagus. siap agan dan terima kasih,1
respons cepat dan sangat membantu. Terima Kasih Juragan,1
terima kasih agan barang sudah diterima dengan baik adapun rapi. sukses selalu untuk anda toko online-nya,1
barang udah sampai. terima kasih warung olahraga dan tokopedia,1
"produk sesuai dengan deskripsi, disarankan ukuran yang diambil diatas: di atas 1 nomor. sepatunya ringan dan enak dipakai respons seller cepat terutama di jam kantor proses diretur karena tukar sizeukuran pun mudah-mudahan toko",1
"expetasi sesuai dengan realita puas, excellent",1
"barang asli dan sesuai, respons seller cepat",1
mantap produknya terima kasih,1
produk telah diterima dengan baik terima kasih.,1
barang sudah diterima. terima kasih,1
"oke, penjual menerima masukan",1
barang ok sesuai pesanan. seller dan pengiriman sangat cepat,1
"barang bagus, respons cepat. sukses selalu",1
"sesuai deskripsi, harga miring cepat sampai produk berkualitas. terima kasih",1
paketnya sesuai deskripsi,1
fast respons. terbaik deh,1
dua sisinya tidak sama. yang satu bukan vacuum karet,1
"barang sudah diterima agan, mantap sesuai deskripsi",1
mantap pokoknya.,1
mudah-mudahan dan anak suka. terima kasih,1
"reseltingnya gampang banget copot dari bajunya, punya saya sudah satu sisi",1
"barang sudah di terima, fast respons terima kasih sedang pemasangan",1
kualitas sesuai harga. puas sama pelayanannya,1
